Candidate_ID,MCQ_Score,Project_Score,Strength_Areas,Weak_Areas
C1,90,79,"['Machine Learning', 'Java', 'SQL']",['Git']
C2,57,74,"['Java', 'Cloud Computing']","['SQL', 'Cloud Computing']"
C3,51,67,"['SQL', 'Git']",['Git']
C4,97,90,['Git'],['Cloud Computing']
C5,67,94,"['Java', 'Cloud Computing', 'Python']",['Python']
C6,65,85,['Machine Learning'],"['SQL', 'Java']"
C7,64,64,['Git'],"['SQL', 'Machine Learning']"
C8,58,93,"['Python', 'Machine Learning', 'Git']","['Cloud Computing', 'Machine Learning']"
C9,97,70,"['Machine Learning', 'Cloud Computing']","['Java', 'Cloud Computing']"
C10,56,99,"['Git', 'Machine Learning']","['Git', 'Machine Learning']"
C11,93,99,"['Cloud Computing', 'Git', 'SQL']","['Java', 'Cloud Computing']"
C12,97,53,"['Cloud Computing', 'SQL']","['SQL', 'Cloud Computing']"
C13,84,64,"['Machine Learning', 'Python']","['Machine Learning', 'Cloud Computing']"
C14,55,52,['Git'],['Python']
C15,87,70,['Java'],['SQL']
C16,77,75,"['Java', 'Machine Learning']",['Cloud Computing']
C17,52,67,"['Git', 'Machine Learning', 'Cloud Computing']","['Java', 'Machine Learning']"
C18,51,54,['Java'],['SQL']
C19,55,63,"['Cloud Computing', 'Java', 'Git']","['Java', 'SQL']"
C20,63,86,['Java'],"['Cloud Computing', 'Java']"
C21,64,95,"['Java', 'Machine Learning']","['Machine Learning', 'SQL']"
C22,82,70,['SQL'],"['SQL', 'Python']"
C23,88,63,"['Python', 'Git', 'Machine Learning']","['Machine Learning', 'Git']"
C24,51,91,"['Machine Learning', 'Cloud Computing', 'Python']",['Python']
C25,85,81,['Python'],"['Cloud Computing', 'Git']"
C26,62,75,"['Git', 'Java']","['Python', 'Machine Learning']"
C27,95,91,['Cloud Computing'],['SQL']
C28,91,79,"['SQL', 'Python']","['Git', 'Python']"
C29,94,59,"['Python', 'Java']","['Python', 'Cloud Computing']"
